"data";"valor"
"01/02/1996";"0,75"
"01/03/1996";"0,51"
"01/04/1996";"0,90"
"01/05/1996";"1,47"
"01/06/1996";"0,92"
"01/07/1996";"0,93"
"01/08/1996";"0,63"
"01/09/1996";"0,43"
"01/10/1996";"0,30"
"01/11/1996";"0,50"
"01/12/1996";"0,59"
"01/01/1997";"0,85"
"01/02/1997";"0,44"
"01/03/1997";"0,20"
"01/04/1997";"0,36"
"01/05/1997";"0,60"
"01/06/1997";"0,19"
"01/07/1997";"0,26"
"01/08/1997";"0,02"
"01/09/1997";"0,09"
"01/10/1997";"0,25"
"01/11/1997";"-0,08"
"01/12/1997";"0,13"
"01/01/1998";"0,39"
"01/02/1998";"0,34"
"01/03/1998";"0,20"
"01/04/1998";"0,01"
"01/05/1998";"0,17"
"01/06/1998";"0,00"
"01/07/1998";"0,10"
"01/08/1998";"-0,16"
"01/09/1998";"-0,15"
"01/10/1998";"0,06"
"01/11/1998";"0,02"
"01/12/1998";"0,00"
"01/01/1999";"0,49"
"01/02/1999";"0,25"
"01/03/1999";"0,60"
"01/04/1999";"0,61"
"01/05/1999";"0,61"
"01/06/1999";"0,25"
"01/07/1999";"0,21"
"01/08/1999";"0,26"
"01/09/1999";"0,18"
"01/10/1999";"1,05"
"01/11/1999";"0,35"
"01/12/1999";"0,28"
"01/01/2000";"0,56"
"01/02/2000";"0,45"
"01/03/2000";"0,05"
"01/04/2000";"0,87"
"01/05/2000";"0,20"
"01/06/2000";"0,30"
"01/07/2000";"0,26"
"01/08/2000";"0,34"
"01/09/2000";"0,23"
"01/10/2000";"0,23"
"01/11/2000";"0,13"
"01/12/2000";"0,20"
"01/01/2001";"0,37"
"01/02/2001";"0,58"
"01/03/2001";"0,28"
"01/04/2001";"0,40"
"01/05/2001";"0,38"
"01/06/2001";"0,27"
"01/07/2001";"0,60"
"01/08/2001";"0,52"
"01/09/2001";"0,23"
"01/10/2001";"0,50"
"01/11/2001";"0,60"
"01/12/2001";"0,77"
"01/01/2002";"0,49"
"01/02/2002";"0,83"
"01/03/2002";"0,43"
"01/04/2002";"0,51"
"01/05/2002";"0,52"
"01/06/2002";"0,16"
"01/07/2002";"0,49"
"01/08/2002";"0,40"
"01/09/2002";"0,61"
"01/10/2002";"0,74"
"01/11/2002";"1,17"
"01/12/2002";"1,66"
"01/01/2003";"1,38"
"01/02/2003";"0,99"
"01/03/2003";"1,13"
"01/04/2003";"0,81"
"01/05/2003";"0,56"
"01/06/2003";"0,52"
"01/07/2003";"0,37"
"01/08/2003";"0,37"
"01/09/2003";"0,37"
"01/10/2003";"0,37"
"01/11/2003";"0,38"
"01/12/2003";"0,63"
"01/01/2004";"0,64"
"01/02/2004";"1,00"
"01/03/2004";"0,85"
"01/04/2004";"0,72"
"01/05/2004";"0,70"
"01/06/2004";"0,53"
"01/07/2004";"0,46"
"01/08/2004";"0,56"
"01/09/2004";"0,41"
"01/10/2004";"0,55"
"01/11/2004";"0,57"
"01/12/2004";"0,67"
"01/01/2005";"0,56"
"01/02/2005";"0,93"
"01/03/2005";"0,41"
"01/04/2005";"0,71"
"01/05/2005";"0,57"
"01/06/2005";"0,36"
"01/07/2005";"0,37"
"01/08/2005";"0,26"
"01/09/2005";"0,30"
"01/10/2005";"0,38"
"01/11/2005";"0,27"
"01/12/2005";"0,30"
"01/01/2006";"0,87"
"01/02/2006";"0,71"
"01/03/2006";"0,53"
"01/04/2006";"0,22"
"01/05/2006";"-0,03"
"01/06/2006";"-0,16"
"01/07/2006";"0,14"
"01/08/2006";"0,13"
"01/09/2006";"0,23"
"01/10/2006";"0,29"
"01/11/2006";"0,23"
"01/12/2006";"0,35"
"01/01/2007";"0,42"
"01/02/2007";"0,52"
"01/03/2007";"0,23"
"01/04/2007";"0,29"
"01/05/2007";"0,33"
"01/06/2007";"0,22"
"01/07/2007";"0,08"
"01/08/2007";"0,35"
"01/09/2007";"0,25"
"01/10/2007";"0,40"
"01/11/2007";"0,37"
"01/12/2007";"0,59"
"01/01/2008";"0,40"
"01/02/2008";"0,69"
"01/03/2008";"0,36"
"01/04/2008";"0,53"
"01/05/2008";"0,68"
"01/06/2008";"0,55"
"01/07/2008";"0,39"
"01/08/2008";"0,50"
"01/09/2008";"0,62"
"01/10/2008";"0,51"
"01/11/2008";"0,36"
"01/12/2008";"0,33"
"01/01/2009";"0,27"
"01/02/2009";"0,88"
"01/03/2009";"0,25"
"01/04/2009";"0,58"
"01/05/2009";"0,56"
"01/06/2009";"0,32"
"01/07/2009";"0,23"
"01/08/2009";"0,29"
"01/09/2009";"0,35"
"01/10/2009";"0,33"
"01/11/2009";"0,42"
"01/12/2009";"0,44"
"01/01/2010";"0,58"
"01/02/2010";"0,86"
"01/03/2010";"0,46"
"01/04/2010";"0,43"
"01/05/2010";"0,62"
"01/06/2010";"0,40"
"01/07/2010";"0,20"
"01/08/2010";"0,24"
"01/09/2010";"0,34"
"01/10/2010";"0,55"
"01/11/2010";"0,57"
"01/12/2010";"0,71"
"01/01/2011";"0,66"
"01/02/2011";"1,23"
"01/03/2011";"0,69"
"01/04/2011";"0,58"
"01/05/2011";"0,43"
"01/06/2011";"0,50"
"01/07/2011";"0,40"
"01/08/2011";"0,45"
"01/09/2011";"0,44"
"01/10/2011";"0,43"
"01/11/2011";"0,45"
"01/12/2011";"0,49"
"01/01/2012";"0,57"
"01/02/2012";"0,65"
"01/03/2012";"0,22"
"01/04/2012";"0,71"
"01/05/2012";"0,26"
"01/06/2012";"-0,09"
"01/07/2012";"0,43"
"01/08/2012";"0,40"
"01/09/2012";"0,39"
"01/10/2012";"0,48"
"01/11/2012";"0,64"
"01/12/2012";"0,88"
"01/01/2013";"0,87"
"01/02/2013";"1,00"
"01/03/2013";"0,31"
"01/04/2013";"0,45"
"01/05/2013";"0,48"
"01/06/2013";"0,38"
"01/07/2013";"0,35"
"01/08/2013";"0,45"
"01/09/2013";"0,52"
"01/10/2013";"0,60"
"01/11/2013";"0,60"
"01/12/2013";"0,96"
"01/01/2014";"0,52"
"01/02/2014";"0,92"
"01/03/2014";"0,88"
"01/04/2014";"0,41"
"01/05/2014";"0,42"
"01/06/2014";"0,73"
"01/07/2014";"0,01"
"01/08/2014";"0,38"
"01/09/2014";"0,58"
"01/10/2014";"0,42"
"01/11/2014";"0,31"
"01/12/2014";"0,87"
"01/01/2015";"0,64"
"01/02/2015";"0,91"
"01/03/2015";"0,57"
"01/04/2015";"0,61"
"01/05/2015";"0,31"
"01/06/2015";"0,68"
"01/07/2015";"0,41"
"01/08/2015";"0,33"
"01/09/2015";"0,55"
"01/10/2015";"0,63"
"01/11/2015";"0,59"
"01/12/2015";"0,86"
"01/01/2016";"0,62"
"01/02/2016";"1,00"
"01/03/2016";"0,42"
"01/04/2016";"0,43"
"01/05/2016";"0,50"
"01/06/2016";"0,29"
"01/07/2016";"0,41"
"01/08/2016";"0,54"
"01/09/2016";"0,16"
"01/10/2016";"0,35"
"01/11/2016";"0,35"
"01/12/2016";"0,53"
"01/01/2017";"0,27"
"01/02/2017";"0,54"
"01/03/2017";"0,14"
"01/04/2017";"0,29"
"01/05/2017";"0,05"
"01/06/2017";"0,22"
"01/07/2017";"0,11"
"01/08/2017";"0,11"
"01/09/2017";"0,37"
"01/10/2017";"0,34"
"01/11/2017";"0,11"
"01/12/2017";"0,55"
"01/01/2018";"0,11"
"01/02/2018";"0,47"
"01/03/2018";"0,10"
"01/04/2018";"0,04"
"01/05/2018";"-0,01"
"01/06/2018";"0,23"
"01/07/2018";"0,33"
"01/08/2018";"-0,02"
"01/09/2018";"0,39"
"01/10/2018";"0,28"
"01/11/2018";"0,00"
"01/12/2018";"0,52"
"01/01/2019";"0,26"
"01/02/2019";"0,27"
"01/03/2019";"0,39"
"01/04/2019";"0,35"
"01/05/2019";"-0,05"
"01/06/2019";"0,21"
"01/07/2019";"0,16"
"01/08/2019";"0,15"
"01/09/2019";"0,07"
"01/10/2019";"0,23"
"01/11/2019";"0,17"
"01/12/2019";"0,55"
"01/01/2020";"0,08"
"01/02/2020";"0,52"
"01/03/2020";"-0,10"
"01/04/2020";"-0,13"
"01/05/2020";"-0,27"
"01/06/2020";"-0,05"
"01/07/2020";"0,04"
"01/08/2020";"-0,21"
"01/09/2020";"0,33"
"01/10/2020";"0,72"
"01/11/2020";"0,49"
"01/12/2020";"0,86"
"01/01/2021";"0,27"
"01/02/2021";"0,65"
"01/03/2021";"0,39"
"01/04/2021";"0,24"
"01/05/2021";"0,41"
"01/06/2021";"0,45"
"01/07/2021";"0,68"
"01/08/2021";"0,64"
"01/09/2021";"0,80"
"01/10/2021";"1,19"
"01/11/2021";"0,55"
"01/12/2021";"1,04"
"01/01/2022";"0,72"
"01/02/2022";"1,26"
"01/03/2022";"0,76"
"01/04/2022";"0,89"
"01/05/2022";"0,94"
"01/06/2022";"0,77"
"01/07/2022";"0,43"
"01/08/2022";"0,50"
"01/09/2022";"0,26"
"01/10/2022";"0,71"
"01/11/2022";"0,12"
"01/12/2022";"0,74"
"01/01/2023";"0,43"
"01/02/2023";"1,06"
"01/03/2023";"0,26"
"01/04/2023";"0,47"
"01/05/2023";"0,08"
"01/06/2023";"0,13"
"01/07/2023";"0,20"
"01/08/2023";"0,18"
"01/09/2023";"0,22"
"01/10/2023";"0,35"
"01/11/2023";"0,21"
"01/12/2023";"0,47"
"01/01/2024";"0,16"
"01/02/2024";"0,73"
"01/03/2024";"0,01"
"01/04/2024";"0,11"
"01/05/2024";"0,36"
"01/06/2024";"0,09"
